Folder,Sample,Channel,Background_Value
b,UO6,Y610-H,390.8999939
b,UO6,Y675-A,114
b,UO6,Y675-H,309.2999878
b,UO6,Y710-A,102
b,UO6,Y710-H,296.7999878
b,UO6,Y763-A,70.90000153
b,UO6,Y763-H,275.8999939
b,UO6,R660-A,486.7999878
b,UO6,R660-H,775.7999878
b,UO6,R712-A,503
b,UO6,R712-H,793.4000244
b,UO6,R763-A,28.5
b,UO6,R763-H,442.7000122
b,UO6,V450-A,885.4000244
b,UO6,V450-H,1755.699951
b,UO6,V525-A,225.3000031
b,UO6,V525-H,497.8999939
b,UO6,V610-A,270.1000061
b,UO6,V610-H,571.2000122
b,UO6,V660-A,96.40000153
b,UO6,V660-H,259.7000122
b,UO6,V763-A,184.8999939
b,UO6,V763-H,461.2999878
b,UO6,B525-A,1085.699951
b,UO6,B525-H,1635.400024
b,UO6,Time,323044
b,UR4,FSC-A,653146.5
b,UR4,FSC-H,576131.625
b,UR4,FSC-Width,1075.245117
b,UR4,SSC-A,217559.5
b,UR4,SSC-H,202358
b,UR4,B610-A,1001.099976
b,UR4,B610-H,1501.900024
b,UR4,B690-A,200.6000061
b,UR4,B690-H,374.1000061
b,UR4,Y585-A,1753.300049
b,UR4,Y585-H,2690.600098
b,UR4,Y610-A,77.80000305
b,UR4,Y610-H,390.8999939
b,UR4,Y675-A,114
b,UR4,Y675-H,309.2999878
b,UR4,Y710-A,102
b,UR4,Y710-H,296.7999878
b,UR4,Y763-A,70.90000153
b,UR4,Y763-H,275.8999939
b,UR4,R660-A,486.7999878
b,UR4,R660-H,775.7999878
b,UR4,R712-A,503
b,UR4,R712-H,793.4000244
b,UR4,R763-A,28.5
b,UR4,R763-H,442.7000122
b,UR4,V450-A,885.4000244
b,UR4,V450-H,1755.699951
b,UR4,V525-A,225.3000031
b,UR4,V525-H,497.8999939
b,UR4,V610-A,270.1000061
b,UR4,V610-H,571.2000122
b,UR4,V660-A,96.40000153
b,UR4,V660-H,259.7000122
b,UR4,V763-A,184.8999939
b,UR4,V763-H,461.2999878
b,UR4,B525-A,1085.699951
b,UR4,B525-H,1635.400024
b,UR4,Time,323044
b,UT4,FSC-A,653146.5
b,UT4,FSC-H,576131.625
b,UT4,FSC-Width,1075.245117
b,UT4,SSC-A,217559.5
b,UT4,SSC-H,202358
b,UT4,B610-A,1001.099976
b,UT4,B610-H,1501.900024
b,UT4,B690-A,200.6000061
b,UT4,B690-H,374.1000061
b,UT4,Y585-A,1753.300049
b,UT4,Y585-H,2690.600098
b,UT4,Y610-A,77.80000305
b,UT4,Y610-H,390.8999939
b,UT4,Y675-A,114
b,UT4,Y675-H,309.2999878
b,UT4,Y710-A,102
b,UT4,Y710-H,296.7999878
b,UT4,Y763-A,70.90000153
b,UT4,Y763-H,275.8999939
b,UT4,R660-A,486.7999878
b,UT4,R660-H,775.7999878
b,UT4,R712-A,503
b,UT4,R712-H,793.4000244
b,UT4,R763-A,28.5
b,UT4,R763-H,442.7000122
b,UT4,V450-A,885.4000244
b,UT4,V450-H,1755.699951
b,UT4,V525-A,225.3000031
b,UT4,V525-H,497.8999939
b,UT4,V610-A,270.1000061
b,UT4,V610-H,571.2000122
b,UT4,V660-A,96.40000153
b,UT4,V660-H,259.7000122
b,UT4,V763-A,184.8999939
b,UT4,V763-H,461.2999878
b,UT4,B525-A,1085.699951
b,UT4,B525-H,1635.400024
b,UT4,Time,323044
b,UT6,FSC-A,653146.5
b,UT6,FSC-H,576131.625
b,UT6,FSC-Width,1075.245117
b,UT6,SSC-A,217559.5
b,UT6,SSC-H,202358
b,UT6,B610-A,1001.099976
b,UT6,B610-H,1501.900024
b,UT6,B690-A,200.6000061
b,UT6,B690-H,374.1000061
b,UT6,Y585-A,1753.300049
b,UT6,Y585-H,2690.600098
b,UT6,Y610-A,77.80000305
b,UT6,Y610-H,390.8999939
b,UT6,Y675-A,114
b,UT6,Y675-H,309.2999878
b,UT6,Y710-A,102
b,UT6,Y710-H,296.7999878
b,UT6,Y763-A,70.90000153
b,UT6,Y763-H,275.8999939
b,UT6,R660-A,486.7999878
b,UT6,R660-H,775.7999878
b,UT6,R712-A,503
b,UT6,R712-H,793.4000244
b,UT6,R763-A,28.5
b,UT6,R763-H,442.7000122
b,UT6,V450-A,885.4000244
b,UT6,V450-H,1755.699951
b,UT6,V525-A,225.3000031
b,UT6,V525-H,497.8999939
b,UT6,V610-A,270.1000061
b,UT6,V610-H,571.2000122
b,UT6,V660-A,96.40000153
b,UT6,V660-H,259.7000122
b,UT6,V763-A,184.8999939
b,UT6,V763-H,461.2999878
b,UT6,B525-A,1085.699951
b,UT6,B525-H,1635.400024
b,UT6,Time,323044
c,UO2,FSC-H,531297.5
c,UO2,FSC-A,545909.625
c,UO2,SSC-H,182490.8438
c,UO2,SSC-A,202520.75
c,UO2,B525-H,1655.900024
c,UO2,B525-A,1258.400024
c,UO2,B610-H,1150
c,UO2,B610-A,862.0999756
c,UO2,B690-H,275.8999939
c,UO2,B690-A,133.5
c,UO2,Y585-H,1691
c,UO2,Y585-A,999.0999756
c,UO2,Y610-H,363.1000061
c,UO2,Y610-A,31.20000076
c,UO2,Y675-H,251.5
c,UO2,Y675-A,34.59999847
c,UO2,Y710-H,245.1000061
c,UO2,Y710-A,29
c,UO2,Y763-H,242.3999939
c,UO2,Y763-A,20.5
c,UO2,R660-H,258.8999939
c,UO2,R660-A,59.40000153
c,UO2,R712-H,256.1000061
c,UO2,R712-A,63.59999847
c,UO2,R763-H,418.5
c,UO2,R763-A,6.099999905
c,UO2,V450-H,1121.699951
c,UO2,V450-A,738.5999756
c,UO2,V525-H,431.5
c,UO2,V525-A,232.3999939
c,UO2,V610-H,491.5
c,UO2,V610-A,276.7000122
c,UO2,V660-H,221.5
c,UO2,V660-A,70.09999847
c,UO2,V763-H,318.8999939
c,UO2,V763-A,102.5
c,UO2,FSC-Width,1012.966736
c,UO2,Time,9745758
c,UR1,FSC-H,531297.5
c,UR1,FSC-A,545909.625
c,UR1,SSC-H,182490.8438
c,UR1,SSC-A,202520.75
c,UR1,B525-H,1655.900024
c,UR1,B525-A,1258.400024
c,UR1,B610-H,1150
c,UR1,B610-A,862.0999756
c,UR1,B690-H,275.8999939
c,UR1,B690-A,133.5
c,UR1,Y585-H,1691
c,UR1,Y585-A,999.0999756
c,UR1,Y610-H,363.1000061
c,UR1,Y610-A,31.20000076
c,UR1,Y675-H,251.5
c,UR1,Y675-A,34.59999847
c,UR1,Y710-H,245.1000061
c,UR1,Y710-A,29
c,UR1,Y763-H,242.3999939
c,UR1,Y763-A,20.5
c,UR1,R660-H,258.8999939
c,UR1,R660-A,59.40000153
c,UR1,R712-H,256.1000061
c,UR1,R712-A,63.59999847
c,UR1,R763-H,418.5
c,UR1,R763-A,6.099999905
c,UR1,V450-H,1121.699951
c,UR1,V450-A,738.5999756
c,UR1,V525-H,431.5
c,UR1,V525-A,232.3999939
c,UR1,V610-H,491.5
c,UR1,V610-A,276.7000122
c,UR1,V660-H,221.5
c,UR1,V660-A,70.09999847
c,UR1,V763-H,318.8999939
c,UR1,V763-A,102.5
c,UR1,FSC-Width,1012.966736
c,UR1,Time,9745758
c,UR2,FSC-H,531297.5
c,UR2,FSC-A,545909.625
c,UR2,SSC-H,182490.8438
c,UR2,SSC-A,202520.75
c,UR2,B525-H,1655.900024
c,UR2,B525-A,1258.400024
c,UR2,B610-H,1150
c,UR2,B610-A,862.0999756
c,UR2,B690-H,275.8999939
c,UR2,B690-A,133.5
c,UR2,Y585-H,1691
c,UR2,Y585-A,999.0999756
c,UR2,Y610-H,363.1000061
c,UR2,Y610-A,31.20000076
c,UR2,Y675-H,251.5
c,UR2,Y675-A,34.59999847
c,UR2,Y710-H,245.1000061
c,UR2,Y710-A,29
c,UR2,Y763-H,242.3999939
c,UR2,Y763-A,20.5
c,UR2,R660-H,258.8999939
c,UR2,R660-A,59.40000153
c,UR2,R712-H,256.1000061
c,UR2,R712-A,63.59999847
c,UR2,R763-H,418.5
c,UR2,R763-A,6.099999905
c,UR2,V450-H,1121.699951
c,UR2,V450-A,738.5999756
c,UR2,V525-H,431.5
c,UR2,V525-A,232.3999939
c,UR2,V610-H,491.5
c,UR2,V610-A,276.7000122
c,UR2,V660-H,221.5
c,UR2,V660-A,70.09999847
c,UR2,V763-H,318.8999939
c,UR2,V763-A,102.5
c,UR2,FSC-Width,1012.966736
c,UR2,Time,9745758
c,UR5,FSC-H,531297.5
c,UR5,FSC-A,545909.625
c,UR5,SSC-H,182490.8438
c,UR5,SSC-A,202520.75
c,UR5,B525-H,1655.900024
c,UR5,B525-A,1258.400024
c,UR5,B610-H,1150
c,UR5,B610-A,862.0999756
c,UR5,B690-H,275.8999939
c,UR5,B690-A,133.5
c,UR5,Y585-H,1691
c,UR5,Y585-A,999.0999756
c,UR5,Y610-H,363.1000061
c,UR5,Y610-A,31.20000076
c,UR5,Y675-H,251.5
c,UR5,Y675-A,34.59999847
c,UR5,Y710-H,245.1000061
c,UR5,Y710-A,29
c,UR5,Y763-H,242.3999939
c,UR5,Y763-A,20.5
c,UR5,R660-H,258.8999939
c,UR5,R660-A,59.40000153
c,UR5,R712-H,256.1000061
c,UR5,R712-A,63.59999847
c,UR5,R763-H,418.5
c,UR5,R763-A,6.099999905
c,UR5,V450-H,1121.699951
c,UR5,V450-A,738.5999756
c,UR5,V525-H,431.5
c,UR5,V525-A,232.3999939
c,UR5,V610-H,491.5
c,UR5,V610-A,276.7000122
c,UR5,V660-H,221.5
c,UR5,V660-A,70.09999847
c,UR5,V763-H,318.8999939
c,UR5,V763-A,102.5
c,UR5,FSC-Width,1012.966736
c,UR5,Time,9745758
c,US1,FSC-H,531297.5
c,US1,FSC-A,545909.625
c,US1,SSC-H,182490.8438
c,US1,SSC-A,202520.75
c,US1,B525-H,1655.900024
c,US1,B525-A,1258.400024
c,US1,B610-H,1150
c,US1,B610-A,862.0999756
c,US1,B690-H,275.8999939
c,US1,B690-A,133.5
c,US1,Y585-H,1691
c,US1,Y585-A,999.0999756
c,US1,Y610-H,363.1000061
c,US1,Y610-A,31.20000076
c,US1,Y675-H,251.5
c,US1,Y675-A,34.59999847
c,US1,Y710-H,245.1000061
c,US1,Y710-A,29
c,US1,Y763-H,242.3999939
c,US1,Y763-A,20.5
c,US1,R660-H,258.8999939
c,US1,R660-A,59.40000153
c,US1,R712-H,256.1000061
c,US1,R712-A,63.59999847
c,US1,R763-H,418.5
c,US1,R763-A,6.099999905
c,US1,V450-H,1121.699951
c,US1,V450-A,738.5999756
c,US1,V525-H,431.5
c,US1,V525-A,232.3999939
c,US1,V610-H,491.5
c,US1,V610-A,276.7000122
c,US1,V660-H,221.5
c,US1,V660-A,70.09999847
c,US1,V763-H,318.8999939
c,US1,V763-A,102.5
c,US1,FSC-Width,1012.966736
c,US1,Time,9745758
c,US2,FSC-H,531297.5
c,US2,FSC-A,545909.625
c,US2,SSC-H,182490.8438
c,US2,SSC-A,202520.75
c,US2,B525-H,1655.900024
c,US2,B525-A,1258.400024
c,US2,B610-H,1150
c,US2,B610-A,862.0999756
c,US2,B690-H,275.8999939
c,US2,B690-A,133.5
c,US2,Y585-H,1691
c,US2,Y585-A,999.0999756
c,US2,Y610-H,363.1000061
c,US2,Y610-A,31.20000076
c,US2,Y675-H,251.5
c,US2,Y675-A,34.59999847
c,US2,Y710-H,245.1000061
c,US2,Y710-A,29
c,US2,Y763-H,242.3999939
c,US2,Y763-A,20.5
c,US2,R660-H,258.8999939
c,US2,R660-A,59.40000153
c,US2,R712-H,256.1000061
c,US2,R712-A,63.59999847
c,US2,R763-H,418.5
c,US2,R763-A,6.099999905
c,US2,V450-H,1121.699951
c,US2,V450-A,738.5999756
c,US2,V525-H,431.5
c,US2,V525-A,232.3999939
c,US2,V610-H,491.5
c,US2,V610-A,276.7000122
c,US2,V660-H,221.5
c,US2,V660-A,70.09999847
c,US2,V763-H,318.8999939
c,US2,V763-A,102.5
c,US2,FSC-Width,1012.966736
c,US2,Time,9745758
c,UT1,FSC-H,531297.5
c,UT1,FSC-A,545909.625
c,UT1,SSC-H,182490.8438
c,UT1,SSC-A,202520.75
c,UT1,B525-H,1655.900024
c,UT1,B525-A,1258.400024
c,UT1,B610-H,1150
c,UT1,B610-A,862.0999756
c,UT1,B690-H,275.8999939
c,UT1,B690-A,133.5
c,UT1,Y585-H,1691
c,UT1,Y585-A,999.0999756
c,UT1,Y610-H,363.1000061
c,UT1,Y610-A,31.20000076
c,UT1,Y675-H,251.5
c,UT1,Y675-A,34.59999847
c,UT1,Y710-H,245.1000061
c,UT1,Y710-A,29
c,UT1,Y763-H,242.3999939
c,UT1,Y763-A,20.5
c,UT1,R660-H,258.8999939
c,UT1,R660-A,59.40000153
c,UT1,R712-H,256.1000061
c,UT1,R712-A,63.59999847
c,UT1,R763-H,418.5
c,UT1,R763-A,6.099999905
c,UT1,V450-H,1121.699951
c,UT1,V450-A,738.5999756
c,UT1,V525-H,431.5
c,UT1,V525-A,232.3999939
c,UT1,V610-H,491.5
c,UT1,V610-A,276.7000122
c,UT1,V660-H,221.5
c,UT1,V660-A,70.09999847
c,UT1,V763-H,318.8999939
c,UT1,V763-A,102.5
c,UT1,FSC-Width,1012.966736
c,UT1,Time,9745758
c,UT7,FSC-H,531297.5
c,UT7,FSC-A,545909.625
c,UT7,SSC-H,182490.8438
c,UT7,SSC-A,202520.75
c,UT7,B525-H,1655.900024
c,UT7,B525-A,1258.400024
c,UT7,B610-H,1150
c,UT7,B610-A,862.0999756
c,UT7,B690-H,275.8999939
c,UT7,B690-A,133.5
c,UT7,Y585-H,1691
c,UT7,Y585-A,999.0999756
c,UT7,Y610-H,363.1000061
c,UT7,Y610-A,31.20000076
c,UT7,Y675-H,251.5
c,UT7,Y675-A,34.59999847
c,UT7,Y710-H,245.1000061
c,UT7,Y710-A,29
c,UT7,Y763-H,242.3999939
c,UT7,Y763-A,20.5
c,UT7,R660-H,258.8999939
c,UT7,R660-A,59.40000153
c,UT7,R712-H,256.1000061
c,UT7,R712-A,63.59999847
c,UT7,R763-H,418.5
c,UT7,R763-A,6.099999905
c,UT7,V450-H,1121.699951
c,UT7,V450-A,738.5999756
c,UT7,V525-H,431.5
c,UT7,V525-A,232.3999939
c,UT7,V610-H,491.5
c,UT7,V610-A,276.7000122
c,UT7,V660-H,221.5
c,UT7,V660-A,70.09999847
c,UT7,V763-H,318.8999939
c,UT7,V763-A,102.5
c,UT7,FSC-Width,1012.966736
c,UT7,Time,9745758
d,UR6,FSC-H,586399.625
d,UR6,FSC-A,602143.8125
d,UR6,SSC-H,242917.75
d,UR6,SSC-A,266164.0625
d,UR6,B525-H,2211.949951
d,UR6,B525-A,2183.649902
d,UR6,B610-H,1503.599976
d,UR6,B610-A,1436.550049
d,UR6,B690-H,350.3999939
d,UR6,B690-A,255.5
d,UR6,Y585-H,2337.399902
d,UR6,Y585-A,2186.350098
d,UR6,Y610-H,394.1000061
d,UR6,Y610-A,120.9000015
d,UR6,Y675-H,340.5499878
d,UR6,Y675-A,212
d,UR6,Y710-H,318.7000122
d,UR6,Y710-A,183.8999939
d,UR6,Y763-H,280.5
d,UR6,Y763-A,112.9000015
d,UR6,R660-H,1625.800049
d,UR6,R660-A,1607.099976
d,UR6,R712-H,1604.599976
