Folder,Sample,Channel,Background_Value
b,UT4,R660-H,775.7999877929688
b,UT4,R712-A,503.0
b,UT4,R712-H,793.4000244140625
b,UT4,R763-A,28.5
b,UT4,R763-H,442.70001220703125
b,UT4,V450-A,885.4000244140625
b,UT4,V450-H,1755.699951171875
b,UT4,V525-A,225.3000030517578
b,UT4,V525-H,497.8999938964844
b,UT4,V610-A,270.1000061035156
b,UT4,V610-H,571.2000122070312
b,UT4,V660-A,96.4000015258789
b,UT4,V660-H,259.70001220703125
b,UT4,V763-A,184.89999389648438
b,UT4,V763-H,461.29998779296875
b,UT4,B525-A,1085.699951171875
b,UT4,B525-H,1635.4000244140625
b,UT4,Time,323044.0
b,UT6,FSC-A,653146.5
b,UT6,FSC-H,576131.625
b,UT6,FSC-Width,1075.2451171875
b,UT6,SSC-A,217559.5
b,UT6,SSC-H,202358.0
b,UT6,B610-A,1001.0999755859375
b,UT6,B610-H,1501.9000244140625
b,UT6,B690-A,200.60000610351562
b,UT6,B690-H,374.1000061035156
b,UT6,Y585-A,1753.300048828125
b,UT6,Y585-H,2690.60009765625
b,UT6,Y610-A,77.80000305175781
b,UT6,Y610-H,390.8999938964844
b,UT6,Y675-A,114.0
b,UT6,Y675-H,309.29998779296875
b,UT6,Y710-A,102.0
b,UT6,Y710-H,296.79998779296875
b,UT6,Y763-A,70.9000015258789
b,UT6,Y763-H,275.8999938964844
b,UT6,R660-A,486.79998779296875
b,UT6,R660-H,775.7999877929688
b,UT6,R712-A,503.0
b,UT6,R712-H,793.4000244140625
b,UT6,R763-A,28.5
b,UT6,R763-H,442.70001220703125
b,UT6,V450-A,885.4000244140625
b,UT6,V450-H,1755.699951171875
b,UT6,V525-A,225.3000030517578
b,UT6,V525-H,497.8999938964844
b,UT6,V610-A,270.1000061035156
b,UT6,V610-H,571.2000122070312
b,UT6,V660-A,96.4000015258789
b,UT6,V660-H,259.70001220703125
b,UT6,V763-A,184.89999389648438
b,UT6,V763-H,461.29998779296875
b,UT6,B525-A,1085.699951171875
b,UT6,B525-H,1635.4000244140625
b,UT6,Time,323044.0
c,UO2,FSC-H,531297.5
c,UO2,FSC-A,545909.625
c,UO2,SSC-H,182490.84375
c,UO2,SSC-A,202520.75
c,UO2,B525-H,1655.9000244140625
c,UO2,B525-A,1258.4000244140625
c,UO2,B610-H,1150.0
c,UO2,B610-A,862.0999755859375
c,UO2,B690-H,275.8999938964844
c,UO2,B690-A,133.5
c,UO2,Y585-H,1691.0
c,UO2,Y585-A,999.0999755859375
c,UO2,Y610-H,363.1000061035156
c,UO2,Y610-A,31.200000762939453
c,UO2,Y675-H,251.5
c,UO2,Y675-A,34.599998474121094
c,UO2,Y710-H,245.10000610351562
c,UO2,Y710-A,29.0
c,UO2,Y763-H,242.39999389648438
c,UO2,Y763-A,20.5
c,UO2,R660-H,258.8999938964844
c,UO2,R660-A,59.400001525878906
c,UO2,R712-H,256.1000061035156
c,UO2,R712-A,63.599998474121094
c,UO2,R763-H,418.5
c,UO2,R763-A,6.099999904632568
c,UO2,V450-H,1121.699951171875
c,UO2,V450-A,738.5999755859375
c,UO2,V525-H,431.5
c,UO2,V525-A,232.39999389648438
c,UO2,V610-H,491.5
c,UO2,V610-A,276.70001220703125
c,UO2,V660-H,221.5
c,UO2,V660-A,70.0999984741211
c,UO2,V763-H,318.8999938964844
c,UO2,V763-A,102.5
c,UO2,FSC-Width,1012.9667358398438
c,UO2,Time,9745758.0
c,UR1,FSC-H,531297.5
c,UR1,FSC-A,545909.625
c,UR1,SSC-H,182490.84375
c,UR1,SSC-A,202520.75
c,UR1,B525-H,1655.9000244140625
c,UR1,B525-A,1258.4000244140625
c,UR1,B610-H,1150.0
c,UR1,B610-A,862.0999755859375
c,UR1,B690-H,275.8999938964844
c,UR1,B690-A,133.5
c,UR1,Y585-H,1691.0
c,UR1,Y585-A,999.0999755859375
c,UR1,Y610-H,363.1000061035156
c,UR1,Y610-A,31.200000762939453
c,UR1,Y675-H,251.5
c,UR1,Y675-A,34.599998474121094
c,UR1,Y710-H,245.10000610351562
c,UR1,Y710-A,29.0
c,UR1,Y763-H,242.39999389648438
c,UR1,Y763-A,20.5
c,UR1,R660-H,258.8999938964844
c,UR1,R660-A,59.400001525878906
c,UR1,R712-H,256.1000061035156
c,UR1,R712-A,63.599998474121094
c,UR1,R763-H,418.5
c,UR1,R763-A,6.099999904632568
c,UR1,V450-H,1121.699951171875
c,UR1,V450-A,738.5999755859375
c,UR1,V525-H,431.5
c,UR1,V525-A,232.39999389648438
c,UR1,V610-H,491.5
c,UR1,V610-A,276.70001220703125
c,UR1,V660-H,221.5
c,UR1,V660-A,70.0999984741211
c,UR1,V763-H,318.8999938964844
c,UR1,V763-A,102.5
c,UR1,FSC-Width,1012.9667358398438
c,UR1,Time,9745758.0
c,UR2,FSC-H,531297.5
c,UR2,FSC-A,545909.625
c,UR2,SSC-H,182490.84375
c,UR2,SSC-A,202520.75
c,UR2,B525-H,1655.9000244140625
c,UR2,B525-A,1258.4000244140625
c,UR2,B610-H,1150.0
c,UR2,B610-A,862.0999755859375
c,UR2,B690-H,275.8999938964844
c,UR2,B690-A,133.5
c,UR2,Y585-H,1691.0
c,UR2,Y585-A,999.0999755859375
c,UR2,Y610-H,363.1000061035156
c,UR2,Y610-A,31.200000762939453
c,UR2,Y675-H,251.5
c,UR2,Y675-A,34.599998474121094
c,UR2,Y710-H,245.10000610351562
c,UR2,Y710-A,29.0
c,UR2,Y763-H,242.39999389648438
c,UR2,Y763-A,20.5
c,UR2,R660-H,258.8999938964844
c,UR2,R660-A,59.400001525878906
c,UR2,R712-H,256.1000061035156
c,UR2,R712-A,63.599998474121094
c,UR2,R763-H,418.5
c,UR2,R763-A,6.099999904632568
c,UR2,V450-H,1121.699951171875
c,UR2,V450-A,738.5999755859375
c,UR2,V525-H,431.5
c,UR2,V525-A,232.39999389648438
c,UR2,V610-H,491.5
c,UR2,V610-A,276.70001220703125
c,UR2,V660-H,221.5
c,UR2,V660-A,70.0999984741211
c,UR2,V763-H,318.8999938964844
c,UR2,V763-A,102.5
c,UR2,FSC-Width,1012.9667358398438
c,UR2,Time,9745758.0
c,UR5,FSC-H,531297.5
c,UR5,FSC-A,545909.625
c,UR5,SSC-H,182490.84375
c,UR5,SSC-A,202520.75
c,UR5,B525-H,1655.9000244140625
c,UR5,B525-A,1258.4000244140625
c,UR5,B610-H,1150.0
c,UR5,B610-A,862.0999755859375
c,UR5,B690-H,275.8999938964844
c,UR5,B690-A,133.5
c,UR5,Y585-H,1691.0
c,UR5,Y585-A,999.0999755859375
c,UR5,Y610-H,363.1000061035156
c,UR5,Y610-A,31.200000762939453
c,UR5,Y675-H,251.5
c,UR5,Y675-A,34.599998474121094
c,UR5,Y710-H,245.10000610351562
c,UR5,Y710-A,29.0
c,UR5,Y763-H,242.39999389648438
c,UR5,Y763-A,20.5
c,UR5,R660-H,258.8999938964844
c,UR5,R660-A,59.400001525878906
c,UR5,R712-H,256.1000061035156
c,UR5,R712-A,63.599998474121094
c,UR5,R763-H,418.5
